the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-74.07755865739367 40.64326277252732),Staten Island Children's Council Elc,120,STUYVESANT PLACE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5000084,5000080060,Staten Island
POINT (-74.15167796424373 40.567279208874524),The Tanglewood School,15,TANGLEWOOD DRIVE,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5061034,5045000015,Staten Island
POINT (-73.96417654502882 40.71360389709662),Builders For Family & Youth,288,BERRY STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3063067,3024160001,Brooklyn
POINT (-73.94238383387042 40.69957946563429),Woodhull Medical&Mental Hlth Ctr.,760,BROADWAY,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3048341,3017230001,Brooklyn
POINT (-73.91705196994839 40.68929020400062),The Salvation Army Bushwick Dcc,1151,BUSHWICK AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3077163,3033740001,Brooklyn
POINT (-73.94833611193869 40.632058898089454),S.C.C. Playcare Center At Hillel,2901,CAMPUS ROAD,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3205890,3075570118,Brooklyn
POINT (-73.91940892757367 40.695221253085286),Bushwick United Hs,331,CENTRAL AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3075906,3033150001,Brooklyn
POINT (-73.982432500543 40.67344594546583),Kids On Fifth Inc Pre-Sch/Children's Workshop Of 5th Ave. Pre-Sch,295,5 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3339178,3009700002,Brooklyn
POINT (-74.00767942950841 40.634104057888266),Star America Inc.,880,60 STREET,11220,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3347466,3057147501,Brooklyn
POINT (-73.80374872585928 40.749973250323094),Tie My Shoes Inc.,163-15,OAK AVENUE,11358,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4124168,4054930001,Flushing
POINT (-73.78292987477002 40.742503315177245),New Highland Elem Sch,193-10,PECK AVENUE,11365,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4128586,4056970001,Fresh Meadows
POINT (-73.84750299249332 40.721643140043206),Forest Hills Jewish Ctr,106-06,QUEENS BOULEVARD,11375,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4077479,4032370040,Forest Hills
POINT (-73.76326466302325 40.689006237975555),Human Resources Center Of St. Albans Hs,118-46,RIVERTON STREET,11412,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4268949,4124490048,Saint Albans
